Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.67      0.01     0.01  6007486     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
 16.67      0.02     0.01  2646591     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long) const
 16.67      0.03     0.01   378783     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&)
 16.67      0.04     0.01   246629     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator-(long) const
 16.67      0.05     0.01   199781     0.00     0.00  unsigned char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned char, unsigned char>(unsigned char*, unsigned char*, unsigned char*)
 16.67      0.06     0.01                             _init
  0.00      0.06     0.00  2209439     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.00      0.06     0.00  1763280     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const
  0.00      0.06     0.00  1657041     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char* const&)
  0.00      0.06     0.00   746221     0.00     0.00  unsigned char* std::__niter_base<unsigned char*>(unsigned char*)
  0.00      0.06     0.00   628438     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::end()
  0.00      0.06     0.00   599354     0.00     0.00  unsigned char* std::__niter_base<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.06     0.00   446117     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00      0.06     0.00   411073     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.06     0.00   400004     0.00     0.00  std::remove_reference<unsigned char*&>::type&& std::move<unsigned char*&>(unsigned char*&)
  0.00      0.06     0.00   399572     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.06     0.00   382039     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::begin()
  0.00      0.06     0.00   376142     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const
  0.00      0.06     0.00   346655     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator*() const
  0.00      0.06     0.00   329452     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.06     0.00   329032     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::resize(unsigned long)
  0.00      0.06     0.00   328124     0.00     0.00  unsigned char&& std::forward<unsigned char>(std::remove_reference<unsigned char>::type&)
  0.00      0.06     0.00   299902     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator+(long) const
  0.00      0.06     0.00   281910     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::difference_type __gnu_cxx::operator-<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      0.06     0.00   246622     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::back()
  0.00      0.06     0.00   200234     0.00     0.00  unsigned char* std::__miter_base<unsigned char*>(unsigned char*)
  0.00      0.06     0.00   200032     0.00     0.00  std::move_iterator<unsigned char*>::base() const
  0.00      0.06     0.00   200032     0.00     0.00  std::move_iterator<unsigned char*>::move_iterator(unsigned char*)
  0.00      0.06     0.00   200032     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<unsigned char*>(std::move_iterator<unsigned char*>)
  0.00      0.06     0.00   200018     0.00     0.00  unsigned char* std::__niter_wrap<unsigned char*>(unsigned char* const&, unsigned char*)
  0.00      0.06     0.00   199972     0.00     0.00  std::move_iterator<unsigned char*> std::make_move_iterator<unsigned char*>(unsigned char*)
  0.00      0.06     0.00   199781     0.00     0.00  unsigned char* std::__copy_move_a1<false, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00   199781     0.00     0.00  unsigned char* std::__copy_move_a2<false, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00   165134     0.00     0.00  Decimal::operator>=(Decimal&)
  0.00      0.06     0.00   165134     0.00     0.00  Decimal::operator>=(Decimal&)::{lambda(bool)#1}::operator()(bool) const
  0.00      0.06     0.00   165134     0.00     0.00  Decimal::operator>=(Decimal&)::{lambda(bool)#1}::operator bool (*)(bool)() const
  0.00      0.06     0.00   165134     0.00     0.00  Decimal::operator>=(Decimal&)::{lambda(bool)#1}::_FUN(bool)
  0.00      0.06     0.00   164354     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator() const
  0.00      0.06     0.00   164351     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_max_size(std::allocator<unsigned char> const&)
  0.00      0.06     0.00   164350     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::max_size() const
  0.00      0.06     0.00   164033     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      0.06     0.00   164033     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
